Frequency (Hz),Measured accelerations under no-load (m/s2),Measured accelerations under on-load (m/s2)
225,0.024562786,0.081780109
226,0.020198163,0.080346266
227,0.00745932,0.055762496
228,0.009842084,0.019778324
229,0.019457218,0.009088236
230,0.019543777,0.006561202
231,0.015044477,0.001877319
232,0.011122157,0.006915933
233,0.016628139,0.007472729
234,0.03379971,0.006174025
235,0.05095536,0.016972801
236,0.054730914,0.027294337
237,0.048923979,0.032042737
238,0.044944308,0.029073532
239,0.043692538,0.016442485
240,0.047256127,0.015744378
241,0.04360231,0.025771183
242,0.031877565,0.035622406
243,0.017919893,0.032317924
244,0.013084466,0.021111216
245,0.014265468,0.013331405
246,0.107173244,0.171733607
247,1.431019924,1.86726647
248,4.734157902,6.124683482
249,7.065258218,9.172338125
250,7.299639915,9.475253238
251,7.048279068,9.143493726
252,4.656465409,6.074052218
253,1.387726195,1.824931634
254,0.114798296,0.160216976
255,0.03439259,0.038051566
256,0.043429923,0.029030497
257,0.051012089,0.022060845
258,0.059398238,0.010132683
259,0.061473871,6.55E-04
260,0.056061795,0.007044661
261,0.047555818,0.015259511
262,0.044497524,0.011381059
263,0.045924601,0.006856614
264,0.049650365,0.008291841
265,0.050710757,0.0111674
266,0.03831871,0.013781637
267,0.028206191,0.014810865
268,0.029213531,0.016006811
269,0.028843158,0.021172333
270,0.025361371,0.030611856
271,0.013767879,0.041130198
272,0.070795861,0.08259354
273,0.220764926,0.197871765
274,0.320314608,0.278791002
275,0.32974554,0.276318207
276,0.31963501,0.273076809
277,0.223019967,0.195814911
278,0.08932911,0.080101792
279,0.037754216,0.046548723
280,0.036964074,0.042647901
281,0.037935442,0.034426783
282,0.034478695,0.027645796
283,0.036949608,0.022531362
284,0.042252126,0.019027644
285,0.049976635,0.018870682
286,0.05875889,0.023003535
287,0.06434215,0.029992804
288,0.066815062,0.01971767
289,0.071304597,0.009921896
290,0.083046438,0.009145034
291,0.091511519,0.02052118
292,0.092122244,0.017401209
293,0.068592397,0.009229151
294,0.036352679,0.011816886
295,0.01951266,0.013957715
296,0.028550364,0.008055946
297,0.158362076,0.059917167
298,0.493690936,0.208028002
299,0.73236741,0.296736612
300,0.764554358,0.306066858
301,0.74410049,0.29325428
302,0.486584577,0.17800179
303,0.128769801,0.082811261
304,0.05358429,0.076924238
305,0.061010605,0.049398571
306,0.056220572,0.019249605
307,0.065296483,0.007465892
308,0.088017028,0.013093606
309,0.096826459,0.020862288
310,0.100044837,0.01878359
311,0.092708014,0.019792212
312,0.066373846,0.022754422
313,0.051766989,0.019031171
314,0.053809172,0.011628391
315,0.056593245,0.014590156
316,0.056496806,0.027418861
317,0.042568462,0.031419514
318,0.023413473,0.025793275
319,0.011605576,0.014761303
